# This is comment.
# SYNTAX:
# Delimiters are TAB (^I) or SPACE.
#
# @DEFINE FIELD-NUMBER TYPE
#    TYPE IS ONE OF BELOWs:
#      SUBTITLE BROADCAST_DATE EPNUM
#    EXAMPLE:
# @DEFINE 3 SUBTITLE   -> 3rd field is sub-title.
# 
# @BEGIN DEFINE
# NAME_OF_NUM		NAME_OF_COL1	NAME_OF_COL_2	...
# @END
# 
# @BEGIN EPISODES
# EPISODE_NUMBER	COL1	COL2	...
# @END

# YOU CAN DEFINE SOME PARTS TO METADATA.
@DEFINE 1 EPNUM
@DEFINE 2 BROADCAST_DATE
@DEFINE 3 SUBTITLE

# FIELDS
@BEGIN DEFINE
話数	放送日			サブタイトル				脚本		コンテ		演出				作画監督				動画作監			美術担当
@END

# EPISODES
@BEGIN EPISODES
01	1982年10月03日	ブービー・トラップ			松崎健一	石黒昇		高山文彦			美樹本晴彦／板野一郎		藤高栄光			多田喜久子
02	1982年10月03日	カウント・ダウン			松崎健一	河森正治		津田義三			美樹本晴彦／板野一郎		藤高栄光			勝井和子
03	1982年10月17日	スペース・フォールド			松崎健一	山田勝久		康村正一			朴炯仁				-				佐藤広明
04	1982年10月24日	リン・ミンメイ				石黒昇	高山文彦		高山文彦			美樹本晴彦／平野俊弘		-				勝井和子
05	1982年10月31日	トランス・フォーメーション	富田祐弘	康村正一		康村正一			鈴木英二／板野一郎		藤高栄光			佐藤広明
06	1982年11月14日	ダイダロス・アタック			富田祐弘	石黒昇		高山文彦			美樹本晴彦／板野一郎		-				勝井和子
07	1982年11月21日	バイバイ・マルス			松崎健一	山田勝久		康村正一			平野俊弘				藤高栄光			宮川佳子
08	1982年11月28日	ロンゲスト・バースデー		松崎健一	山田太郎		圓出漫			鈴木英二／板野一郎		藤高栄光／宮崎葉月	佐藤広明
09	1982年12月05日	ミス・マクロス				富田祐弘	山賀博之		山賀博之			美樹本晴彦／板野一郎		-				勝井和子
10	1982年12月12日	ブラインド・ゲーム			松崎健一	高山文彦		吉田浩			鈴木英二／鄭裕祐		藤高栄光／宮崎葉月	佐藤広明
11	1982年12月19日	ファースト・コンタクト		富田祐弘	黒河影次		高山文彦			美樹本晴彦			-				勝井和子
12	1982年12月26日	ビッグ・エスケープ			富田祐弘	黒河影次		秋山勝仁			平野俊弘				藤高栄光／宮崎葉月	佐藤広明
13	1983年01月09日	ブルー・ウインド			松崎健一	山田勝久		田中宏之			朴炯仁				-				多田喜久子
14	1983年01月16日	グローバル・レポート			松崎健一	石黒昇		石黒昇			美樹本晴彦／板野一郎		藤高栄光／宮崎葉月	多田喜久子
15	1983年01月23日	チャイナ・タウン			松崎健一	知吹愛弓		高山文彦			美樹本晴彦／板野一郎		-				勝井和子
16	1983年01月30日	カンフー・ダンディ			大野木寛	康村正一		康村正一			鈴木英二／平野俊弘		藤高栄光／宮崎葉月	佐藤広明
17	1983年02月13日	ファンタズム				-		黒河影次		石黒昇			美樹本晴彦／板野一郎		藤高栄光／宮崎葉月	多田喜久子
18	1983年02月20日	パイン・サラダ				星山博之	石黒昇		高山文彦			美樹本晴彦／板野一郎		-				勝井和子
19	1983年02月27日	バースト・ポイント			富田祐弘	黒河影次		秋山勝仁			平野俊弘				藤高栄光／宮崎葉月	佐藤広明
20	1983年03月06日	パラダイス・ロスト			松崎健一	山田勝久		吉田浩			朴炯仁				-				多田喜久子
21	1983年03月13日	ミクロ・コスモス			大野木寛	石黒昇		笠原達也			美樹本晴彦／板野一郎		野田昭子			勝井和子
22	1983年03月20日	ラブ・コンサート			星山博之	秋山勝仁		秋山勝仁			朴炯仁				-				佐藤広明
23	1983年03月27日	ドロップ・アウト			大野木寛	康村正一		康村正一			鈴木英二／平野俊弘		藤高栄光／宮崎葉月	多田喜久子
24	1983年04月03日	グッバイ・ガール			富田祐弘	高山文彦		高山文彦			美樹本晴彦／板野一郎		-				勝井和子
25	1983年04月10日	バージン・ロード			富田祐弘	三家本泰美	吉田浩			朴炯仁				-				佐藤広明
26	1983年04月17日	メッセンジャー				松崎健一	秋山勝仁		秋山勝仁			平野俊弘				藤高栄光／宮崎葉月	佐藤広明
27	1983年04月24日	愛は流れる				松崎健一	黒河影次		石黒昇／笠原達也	美樹本晴彦／板野一郎		藤高栄光			多田喜久子
28	1983年05月01日	マイ・アルバム				星山博之	石黒昇		高山文彦			しまだひであき			-				勝井和子
29	1983年05月08日	ロンリー・ソング			富田祐弘	康村正一		康村正一			朴炯仁				-				佐藤広明
30	1983年05月15日	ビバ・マリア				大野木寛	高山文彦		笠原達也			鈴木英二				-				多田喜久子
31	1983年05月22日	サタン・ドール				富田祐弘	秋山勝仁		秋山勝仁			平野俊弘／板野一郎		豊島光子			勝井和子
32	1983年05月29日	ブロークン・ハート			大野木寛	山田勝久		吉田浩			朴炯仁				-				佐藤広明
33	1983年06月05日	レイニー・ナイト			星山博之	石黒昇		笠原達也			鈴木英二				-				多田喜久子
34	1983年06月12日	プライベート・タイム			大野木寛	西森明良		秋山勝仁			朴炯仁				-				佐藤広明
35	1983年06月19日	ロマネスク				富田祐弘	高山文彦		高山文彦			しまだひであき			-				勝井和子
36	1983年06月26日	やさしさサヨナラ			河森正治	康村正一		康村正一			-					豊島光子			多田喜久子
@END

